,m,uw,jh,ae,ay,oy,sh,dx,th,v,hh,aa,ey,q,t,f,g,n,k,b,aw,y,d,z,ng,iy,w,uh,ow,r,ch,l,dh,ah,ih,p,er,s,eh
s_er,0.5,0,0,0,0,0,0,0,0.5,0,2,3,1,0,74,2.5,0,159,0,1,0,0,0,132,0,0,0.5,59.5,7,4.5,0,2,0,355,356,0,34,294,3
s_ey,0,16,0,0,0,0,1,4.5,0.5,0,1,1.5,184,0,114,1,0,12.5,0,0,0,12.5,0,59,3.5,0,0.5,2.5,0,0,0,0,0,43,505.5,0,3,61,47
s_ih,0,1,0,0,0,0,1.5,0,0,0,0,0.5,0,0,7.5,1.5,0,5.5,0,0,0,0.5,0,135,0,0,0,0,0,0.5,0,0,0,5.5,960,0,0,350.5,1.5
s_ow,0,0.5,0,0,0,0,0,0,0,0,6.5,2,1,0,241.5,1.5,0,127.5,0,0,0,0,0,25.5,0,0,5,15,79,1.5,0,2.5,0,362.5,100,0,1.5,342,13
s_s,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,913.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984,0
s_t,0,0,0,0,0,0,3,0,0,0,0,1.5,0,0,681.5,1.5,0,1.5,0,0,0,0,0,0.5,0,0,0.5,1,0,0,0.5,0,0,19,72,0,20.5,687,0.5
t_aa,0,0,0,0,18,0.5,0,0,0,0,6.5,449.5,0,0,542.5,0,0,174,0,0,0,0,0,0,0,0,35,0,123.5,74.5,0,3.5,0,126,0,0,13.5,1,7.5
t_ay,0,0,0,0,352,0,0,0,0,0,37.5,46.5,20,0,339.5,0,0,90.5,0.5,0,0,0,0,0,0.5,0,0.5,1,12,21.5,0,0,0,364,1.5,0,67.5,1,12
t_eh,0,2.5,0,0,0,0,0,0,0,0,0,0.5,3,0,459.5,0,0,6,0,0,0,0,0,0,0,0,0,3.5,48,4.5,0,0,0,126.5,46.5,0,53,0,254
t_ey,0,44.5,0,0,3.5,0,0,0,0,0,2,0,349,0,272,0,0,22.5,0.5,0,0,4.5,0,0,0.5,1,0,9.5,16.5,4,0,0,0,54.5,105.5,0,19,0,123
t_ow,3.5,1.5,0,0,0,0,0,0,0,0,1,9.5,1.5,0,516,0,0,196,0,0,0,0,0,0,0,0,27.5,7.5,572,2.5,0,0,0,83,7,0,24,1.5,37.5
t_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,8,7.5,0,14,3.5,1
