,m,uw,jh,ae,ay,oy,sh,dx,th,v,hh,aa,ey,q,t,f,g,n,k,b,aw,y,d,z,ng,iy,w,uh,ow,r,ch,l,dh,ah,ih,p,er,s,eh
ih_ay,0.0,0.0,0.0,0.0,376.5,0.0,0.0,0.0,0.0,0.0,4.5,49.5,28.0,0.0,0.0,0.0,0.0,97.5,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,51.0,24.0,0.0,0.0,0.0,395.0,15.0,0.0,34.0,0.0,19.0
ih_eh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.5,0.0,0.0,22.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,99.0,0.5,0.0,0.0,0.0,391.0,87.5,0.0,51.5,0.0,152.0
ih_ey,0.0,2.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,492.5,0.0,0.0,0.0,0.0,10.5,0.0,1.5,0.0,1.5,0.0,0.0,2.5,0.5,0.0,1.0,22.5,2.0,0.0,0.0,0.0,79.5,141.0,0.0,8.5,0.0,149.0
ih_ih,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,41.5,0.5,0.0,0.0,0.0,116.0,279.5,0.0,33.5,0.0,55.0
ih_ow,0.5,0.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,9.0,0.0,4.0,0.0,0.0,288.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,2.5,2.0,603.0,1.0,0.0,6.0,0.0,177.0,22.0,0.0,15.0,0.0,106.5
ih_t,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,60.0,0.0,0.0,10.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5,4.5,32.5,0.0,0.0,0.0,0.0,74.0,153.5,0.0,23.0,2.0,12.5
ow_aa,0.5,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,2.5,74.5,0.0,0.0,1.5,0.0,0.0,421.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,519.5,12.0,0.0,3.5,0.0,377.5,0.5,0.0,9.5,0.0,3.5
ow_ay,0.0,0.0,0.0,0.0,319.5,0.0,0.0,0.0,0.0,0.0,0.5,23.5,18.5,0.0,1.0,0.0,0.0,240.5,0.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,228.0,9.0,0.0,1.0,0.0,400.5,1.0,0.0,18.5,0.0,8.0
ow_eh,0.5,0.0,0.0,0.0,7.0,0.0,0.0,0.5,0.0,0.0,1.0,7.0,15.0,0.0,1.5,0.0,0.0,259.0,0.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,1.0,452.5,2.0,0.0,3.0,0.0,394.5,9.0,0.0,23.5,0.0,85.5
ow_ey,0.0,3.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,324.0,0.0,0.5,0.0,0.0,172.5,0.0,5.0,1.0,2.0,0.0,0.0,4.5,3.5,1.5,0.5,322.5,1.5,0.0,5.0,0.0,140.0,23.0,0.0,6.0,0.0,125.0
ow_ow,0.5,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.5,0.0,6.5,0.0,0.0,1.5,0.0,0.0,495.0,0.0,4.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,755.5,0.0,0.0,1.5,0.0,226.5,0.5,0.0,0.5,0.0,6.5
